FSCS Key,Library Name,Locale,Service Area Population,Total Circulation,Percentage of Children's Material Circulation,Electronic Material Circulation,Print Material Circulation,Other Physical Item Circulation
MN9037,EMILY PUBLIC LIBRARY,Rural,861,"4,720",44,0,"4,720",
MN9037,EMILY PUBLIC LIBRARY,Rural,861,,,,,-1
MO0001,APPLETON CITY PUBLIC LIBRARY,Rural,"1,032","2,036",12,0,"2,036",201
MO0002,BETHANY PUBLIC LIBRARY,Town,"2,915","10,438",21,"3,037","7,401",0
MO0004,MID-CONTINENT PUBLIC LIBRARY,Suburban,"840,292","8,970,731",35,"4,083,829","4,886,902","7,629"
MO0006,DESLOGE PUBLIC LIBRARY,Town,"4,823","5,836",27,391,"5,445",0
MO0007,KELLER PUBLIC LIBRARY OF DEXTER,Town,"7,927","39,483",30,"9,020","30,463",0
MO0009,LEWIS LIBRARY OF GLASGOW,Rural,"1,087","3,307",17,"1,018","2,289",14
MO0010,HAMILTON PUBLIC LIBRARY,Rural,"1,690","4,759",20,"1,192","3,567",16
MO0011,WRIGHT COUNTY LIBRARY,Rural,"18,188","32,278",41,"6,098","26,180",0
MO0012,HAYTI CONRAN MEMORIAL LIBRARY,Town,"2,493","1,547",24,0,"1,547",301
MO0014,KANSAS CITY PUBLIC LIBRARY,City,"232,498","1,779,541",19,"1,043,040","736,501","3,549"
MO0015,ADAIR COUNTY PUBLIC LIBRARY,Town,"25,314","129,244",31,"35,159","94,085",70
MO0016,LOCKWOOD PUBLIC LIBRARY,Rural,806,"6,270",64,0,"6,270",70
MO0017,MAPLEWOOD PUBLIC LIBRARY,Suburban,"8,269","85,953",53,"12,842","73,111",214
MO0018,MARCELINE CARNEGIE LIBRARY,Rural,"2,123","14,089",27,"1,184","12,905",0
MO0019,MONTGOMERY CITY PUBLIC LIBRARY,Town,"2,811","22,963",25,"4,878","18,085",28
MO0020,SPRINGFIELD-GREENE COUNTY LIBRARY DISTRICT,City,"298,915","2,547,364",33,"454,854","2,092,510","12,649"
MO0021,MOUNTAIN VIEW PUBLIC LIBRARY,Rural,"2,533","45,387",20,"3,278","42,109",7
MO0023,OREGON PUBLIC LIBRARY,Rural,837,"1,368",10,0,"1,368",0
MO0024,MARION COUNTY LIBRARY SUB-DISTRICT #1,Town,"6,734","47,872",48,"7,028","40,844",637
MO0025,PIEDMONT PUBLIC LIBRARY,Rural,"1,897","13,327",18,0,"13,327",0
MO0027,RICH HILL MEMORIAL LIBRARY,Rural,"1,232","6,102",43,48,"6,054",0
MO0028,SARCOXIE PUBLIC LIBRARY,Rural,"1,406","1,458",20,0,"1,458",0
MO0029,SLATER PUBLIC LIBRARY,Rural,"1,834","3,058",12,0,"3,058",0
MO0030,CITY OF ST. LOUIS MUNICIPAL LIBRARY DISTRICT,City,"301,578","1,944,810",37,"518,810","1,426,000",0
MO0033,MORGAN COUNTY LIBRARY,Rural,"21,006","68,121",35,"14,554","53,567",381
MO0034,DANIEL BOONE REGIONAL LIBRARY,City,"223,840","2,247,205",30,"911,870","1,335,335","3,715"
MO0035,SAINT CHARLES CITY-COUNTY LIBRARY DISTRICT,Suburban,"405,262","5,683,145",46,"1,101,927","4,581,218","10,309"
MO0036,SAINT LOUIS COUNTY LIBRARY,Suburban,"863,407","12,474,280",32,"2,895,452","9,578,828","1,031,225"
MO0037,UNIVERSITY CITY PUBLIC LIBRARY,Suburban,"35,065","230,831",36,"45,265","185,566",722
MO0038,BARRY-LAWRENCE REGIONAL LIBRARY,Town,"72,535","280,701",25,"56,834","223,867",605
MO0039,BOONSLICK REGIONAL LIBRARY,Town,"59,455","317,134",30,"49,564","267,570",651
MO0040,CASS COUNTY PUBLIC LIBRARY,Town,"107,824","359,873",46,"64,508","295,365",78
MO0041,JOPLIN PUBLIC LIBRARY,City,"48,784","404,833",39,"63,871","340,962","1,529"
MO0043,STONE COUNTY LIBRARY,Rural,"31,076","65,468",26,"8,682","56,786",0
MO0044,NEOSHO/NEWTON COUNTY LIBRARY,Town,"54,445","230,196",44,"24,075","206,121",0
MO0045,TRAILS REGIONAL LIBRARY,Town,"82,736","227,397",31,"54,022","173,375","7,769"
MO0046,ATCHISON COUNTY LIBRARY,Rural,"5,305","33,722",36,742,"32,980",0
MO0047,BROOKFIELD PUBLIC LIBRARY,Town,"4,111","22,985",16,"3,145","19,840",0
MO0048,MUNICIPAL LIBRARY DISTRICT OF THE CITY OF CAPE GIRARDEAU,City,"36,170","185,577",34,"45,579","139,998",237
MO0049,DAVIESS COUNTY LIBRARY,Rural,"8,430","21,815",19,"7,648","14,167",290
MO0050,GENTRY COUNTY LIBRARY,Rural,"4,492","45,926",21,"4,066","41,860","3,108"
MO0051,HANNIBAL FREE PUBLIC LIBRARY,Town,"17,086","70,750",32,"13,254","57,496",0
MO0052,GRUNDY COUNTY-JEWETT NORRIS LIBRARY,Town,"9,808","18,377",25,"3,114","15,263","1,865"
MO0053,LITTLE DIXIE REGIONAL LIBRARIES,Town,"31,406","141,900",17,"45,340","96,560","17,211"
MO0054,LIVINGSTON COUNTY LIBRARY,Town,"14,557","115,648",38,"21,304","94,344",189
MO0055,MARYVILLE PUBLIC LIBRARY,Town,"10,633","76,180",36,"17,301","58,879",311
MO0056,MISSISSIPPI COUNTY LIBRARY DISTRICT,Town,"12,577","10,743",10,"3,554","7,189",0
MO0057,MERCER COUNTY LIBRARY,Rural,"3,538","7,828",17,"2,166","5,662",94
MO0058,NORTH KANSAS CITY PUBLIC LIBRARY,Suburban,"4,467","134,761",27,"43,899","90,862",576
MO0059,NORTHEAST MISSOURI LIBRARY SERVICE,Rural,"17,686","36,842",37,"4,065","32,777",0
MO0060,OZARK REGIONAL LIBRARY,Town,"22,163","31,361",22,"8,373","22,988",60
MO0061,PUTNAM COUNTY PUBLIC LIBRARY,Rural,"4,681","25,060",28,"4,973","20,087",0
MO0062,RAY COUNTY LIBRARY,Town,"23,158","21,080",32,"1,862","19,218",71
MO0065,SCENIC REGIONAL LIBRARY,Town,"147,730","518,184",42,"64,175","454,009","4,035"
MO0066,SCOTLAND COUNTY MEMORIAL LIBRARY,Rural,"4,716","29,115",30,"4,909","24,206",0
MO0067,SULLIVAN COUNTY PUBLIC LIBRARY,Rural,"5,999","3,310",6,0,"3,310",0
MO0068,WASHINGTON COUNTY LIBRARY,Town,"23,514","28,799",37,"2,541","26,258",25
MO0069,DE SOTO PUBLIC LIBRARY,Town,"6,449","44,731",41,"5,918","38,813","5,267"
MO0071,WASHINGTON PUBLIC LIBRARY,Town,"8,771","115,600",47,0,"115,600",761
MO0072,CARROLLTON PUBLIC LIBRARY,Town,"3,514","29,138",30,"5,200","23,938",120
MO0073,FERGUSON MUNICIPAL PUBLIC LIBRARY DISTRICT,Suburban,"18,527","45,580",33,"6,352","39,228",213
MO0074,CITY OF WELLSVILLE MUNICIPAL LIBRARY DISTRICT,Rural,998,"2,005",23,0,"2,005",0
MO0075,FARMINGTON PUBLIC LIBRARY,Town,"18,217","94,681",30,"17,920","76,761",224
MO0076,KIRKWOOD PUBLIC LIBRARY,Suburban,"29,461","527,413",49,"64,366","463,047",183
MO0077,CRYSTAL CITY PUBLIC LIBRARY,Rural,"4,740","9,401",18,"1,997","7,404",624
MO0078,BRENTWOOD PUBLIC LIBRARY,Suburban,"8,233","103,767",50,"13,859","89,908",586
MO0079,RICHMOND HEIGHTS MEMORIAL LIBRARY,Suburban,"9,286","100,772",46,"7,151","93,621",398
MO0080,PARK HILLS PUBLIC LIBRARY,Town,"8,587","20,341",15,"4,095","16,246",0
MO0081,MONROE CITY PUBLIC LIBRARY,Rural,"2,522","7,184",43,"2,987","4,197",0
MO0082,FESTUS PUBLIC LIBRARY,Suburban,"12,706","66,002",40,"17,383","48,619",203
MO0083,VALLEY PARK COMMUNITY LIBRARY,Suburban,"3,140","1,538",20,317,"1,221",1
MO0084,WEBSTER GROVES PUBLIC LIBRARY,Suburban,"24,010","255,023",36,"44,557","210,466",55
MO0085,ROCK HILL PUBLIC LIBRARY,Suburban,"4,750","23,681",38,"4,606","19,075",49
MO0087,DALLAS COUNTY LIBRARY,Town,"17,071","59,047",30,"8,560","50,487",0
MO0088,HENRY COUNTY LIBRARY,Town,"21,946","94,451",22,"16,157","78,294","1,267"
MO0089,HOWARD COUNTY PUBLIC LIBRARY,Town,"9,094","12,622",18,"3,300","9,322",32
MO0090,SEDALIA PUBLIC LIBRARY,Town,"20,022","52,905",39,"9,735","43,170",159
MO0091,MEXICO-AUDRAIN COUNTY LIBRARY DISTRICT,Town,"24,962","73,439",39,"12,658","60,781",0
MO0092,CENTRALIA PUBLIC LIBRARY,Town,"4,053","44,625",28,"6,043","38,582","1,494"
MO0094,ROLLA PUBLIC LIBRARY,Town,"19,943","146,641",43,"23,817","122,824","2,303"
MO0095,CAMDEN COUNTY LIBRARY,Town,"42,745","141,036",19,"31,798","109,238",807
MO0096,NORBORNE PUBLIC LIBRARY,Rural,634,"1,321",14,0,"1,321",26
MO0097,CAMERON PUBLIC LIBRARY,Town,"8,513","36,370",51,"4,790","31,580",252
MO0098,ALBANY CARNEGIE PUBLIC LIBRARY,Rural,"1,670","19,341",29,"2,955","16,386",512
MO0099,CANTON PUBLIC LIBRARY,Rural,"2,724","8,771",33,"2,122","6,649",3
MO0100,LOUISIANA PUBLIC LIBRARY,Town,"3,199","3,110",11,0,"3,110",0
MO0101,MACON PUBLIC LIBRARY,Town,"5,457","43,618",18,"4,975","38,643",0
MO0102,CARNEGIE PUBLIC LIBRARY,Rural,"1,613","13,868",21,"4,960","8,908",0
MO0103,SWEET SPRINGS PUBLIC LIBRARY,Rural,"1,316","5,292",61,138,"5,154",3
MO0104,ROBERTSON MEMORIAL LIBRARY,Town,"4,261","13,346",44,211,"13,135",0
MO0105,SALEM PUBLIC LIBRARY,Town,"4,608","30,330",45,"4,668","25,662",6
MO0106,MCDONALD COUNTY LIBRARY,Rural,"23,303","30,765",14,"7,529","23,236",16
MO0107,WILLOW SPRINGS PUBLIC LIBRARY,Rural,"2,164","8,005",27,310,"7,695",72
MO0108,WEST PLAINS PUBLIC LIBRARY,Town,"12,184","115,254",39,"16,167","99,087",0
MO0109,NEVADA PUBLIC LIBRARY,Town,"8,212","40,096",43,"7,848","32,248",203
MO0110,CHRISTIAN COUNTY LIBRARY,Suburban,"88,842","298,047",38,"78,093","219,954","1,456"
MO0111,DOUGLAS COUNTY PUBLIC LIBRARY,Town,"11,578","25,311",24,"2,921","22,390","2,323"
MO0112,SEYMOUR COMMUNITY LIBRARY,Rural,993,"7,982",41,0,"7,982",0
MO0113,SAINT CLAIR COUNTY LIBRARY,Rural,"8,252","48,617",33,"3,534","45,083",513
MO0114,WEBB CITY PUBLIC LIBRARY,Suburban,"13,031","36,745",42,"7,651","29,094",0
MO0115,LILBOURN MEMORIAL LIBRARY,Rural,822,"1,626",6,0,"1,626",0
MO0116,TEXAS COUNTY LIBRARY,Rural,"24,487","93,829",10,"15,777","78,052",0
MO0117,BONNE TERRE MEMORIAL LIBRARY,Town,"6,903","14,634",16,"3,444","11,190",845
MO0118,DULANY MEMORIAL LIBRARY,Rural,"1,563","6,274",10,"1,924","4,350",39
MO0119,LAPLATA PUBLIC LIBRARY,Rural,"1,257","3,694",34,0,"3,694",123
MO0120,MOUND CITY PUBLIC LIBRARY,Rural,"1,004","11,958",60,0,"11,958",0
MO0121,CARTHAGE PUBLIC LIBRARY,Town,"15,522","63,247",40,"17,286","45,961","2,460"
MO0122,BOLLINGER COUNTY LIBRARY,Rural,"10,567","16,091",15,0,"16,091",22
MO0123,CARUTHERSVILLE PUBLIC LIBRARY,Town,"5,562","40,429",23,"7,012","33,417",30
MO0124,STEELE PUBLIC LIBRARY,Rural,"1,853",984,24,0,984,0
MO0125,POPLAR BLUFF MUNICIPAL LIBRARY DISTRICT,Town,"16,225","149,260",26,"41,343","107,917",4
MO0126,DUNKLIN COUNTY LIBRARY,Town,"28,283","177,098",11,"12,309","164,789",0
MO0127,SIKESTON PUBLIC LIBRARY,Town,"14,435","31,399",24,"9,263","22,136",0
MO0128,RIVERSIDE REGIONAL LIBRARY,Suburban,"85,846","195,837",40,"17,293","178,544",0
MO0130,CHAFFEE PUBLIC LIBRARY,Town,"3,057","9,544",26,0,"9,544",0
MO0132,NEW MADRID COUNTY LIBRARY,Town,"14,829","26,513",7,"5,971","20,542",0
MO0137,REYNOLDS COUNTY LIBRARY DISTRICT,Rural,"6,096","19,047",18,"3,527","15,520",0
MO0138,DONIPHAN-RIPLEY COUNTY LIBRARY DISTRICT,Rural,"10,679","37,615",13,"6,154","31,461","3,319"
MO0139,WORTH COUNTY LIBRARY,Rural,"1,973","4,627",48,469,"4,158",0
MO0140,MARSHALL PUBLIC LIBRARY,Town,"13,806","20,359",31,"4,315","16,044",19
MO0141,JAMES MEMORIAL LIBRARY,Town,"3,935","21,457",33,"4,621","16,836",843
MO0143,CARTER COUNTY LIBRARY,Rural,"5,202","32,391",9,"4,083","28,308",2
MO0145,CLARENCE PUBLIC LIBRARY,Rural,738,227,26,0,227,2
MO0147,JEFFERSON COUNTY LIBRARY DISTRICT,Suburban,"135,409","395,017",33,"97,024","297,993","32,946"
MO0151,BOWLING GREEN PUBLIC LIBRARY,Town,"4,195","19,737",32,"2,870","16,867",0
MO0160,BLOOMFIELD PUBLIC LIBRARY,Rural,"1,755","7,658",35,0,"7,658",0
MO0164,OREGON COUNTY LIBRARY DISTRICT,Rural,"8,635","32,459",15,"2,263","30,196",0
MO0166,PUXICO PUBLIC LIBRARY,Rural,873,"2,266",14,489,"1,777",0
MO0168,BERNIE PUBLIC LIBRARY,Rural,"1,859",654,9,0,654,0
MO0169,RALLS COUNTY LIBRARY,Rural,"10,065","11,645",59,91,"11,554",0
MO0172,MONITEAU COUNTY LIBRARY,Town,"12,553","34,749",43,"6,841","27,908",317
MO0173,BARTON COUNTY LIBRARY,Town,"11,637","30,557",34,"6,835","23,722",66
MO0174,HEARTLAND REGIONAL LIBRARY SYSTEM,Rural,"33,154","63,707",38,"10,437","53,270",651
MO0175,MISSOURI RIVER REGIONAL LIBRARY,City,"90,553","553,002",38,"84,603","468,399","1,213"
MO0178,CEDAR COUNTY LIBRARY DISTRICT,Rural,"14,188","31,273",16,"6,538","24,735",0
MO0179,DADE COUNTY LIBRARY,Rural,"6,763","13,777",15,474,"13,303",519
MO0180,HICKORY COUNTY LIBRARY,Rural,"8,279","28,048",16,"5,649","22,399","8,570"
MO0181,POLK COUNTY LIBRARY,Town,"31,519","141,789",30,"25,242","116,547",875
MO0190,WEBSTER COUNTY LIBRARY,Town,"38,092","115,792",39,"25,223","90,569",0
MO0198,LEBANON-LACLEDE COUNTY LIBRARY,Town,"36,039","120,933",34,"11,722","109,211",0
MO0199,PULASKI COUNTY LIBRARY,Town,"52,759","58,431",37,"19,186","39,245",13
MO0205,SCHUYLER COUNTY LIBRARY DISTRICT,Rural,"4,032","5,607",10,901,"4,706",20
MO0206,ROLLING HILLS CONSOLIDATED,City,"41,674","367,315",37,"44,986","322,329","4,963"
MO0227,SAINT JOSEPH PUBLIC LIBRARY,City,"61,254","172,079",24,"47,120","124,959",0
MO0228,ADVANCE COMMUNITY LIBRARY,Rural,"1,349","3,445",29,898,"2,547",0
MO0229,CALDWELL COUNTY LIBRARY,Rural,"6,867","6,263",38,"2,334","3,929",0
MO0232,ADRIAN COMMUNITY LIBRARY,Rural,"1,730","2,447",26,317,"2,130",44
MO0233,PRICE JAMES MEMORIAL LIBRARY,Town,"2,920","14,925",33,"3,139","11,786",6
MO0234,CRAWFORD COUNTY LIBRARY,Rural,"21,563","35,936",18,"5,504","30,432",0
MP0001,JOETEN-KIYU PUBLIC LIBRARY,Town,"47,329","22,038",58,"5,493","16,545",0
MS0001,BENTON COUNTY LIBRARY,Rural,"7,550","7,485",17,0,"7,485",7
MS0002,YALOBUSHA COUNTY LIBRARY,Rural,"12,364","7,969",18,461,"7,508",0
MS0003,BOLIVAR COUNTY LIBRARY,Town,"29,370","21,121",43,443,"20,678",11
MS0004,CARROLL COUNTY PUBLIC LIBRARY SYSTEM,Rural,"9,731","7,526",16,0,"7,526",0
MS0005,CARNEGIE PUBLIC LIBRARY,Town,"20,197","16,632",23,30,"16,602","3,791"
MS0006,CENTRAL MISSISSIPPI REGIONAL LIBRARY,Suburban,"226,365","471,673",38,"49,963","421,710","33,524"
MS0008,COPIAH-JEFFERSON REGIONAL LIBRARY,Town,"34,806","8,234",21,0,"8,234",40
MS0009,DIXIE REGIONAL LIBRARY SYSTEM,Town,"60,982","50,837",24,"3,377","47,460",0
MS0010,EAST MISSISSIPPI REGIONAL LIBRARY,Rural,"31,438","45,998",19,"5,385","40,613",0
MS0011,ELIZABETH JONES LIBRARY,Town,"21,088","21,364",31,"2,326","19,038",0
MS0012,GREENWOOD-LEFLORE PUBLIC LIBRARY,Town,"26,570","39,643",11,662,"38,981",0
MS0013,FIRST REGIONAL LIBRARY,Suburban,"319,753","818,841",34,"196,154","622,687","8,311"
MS0014,HANCOCK COUNTY LIBRARY,Suburban,"46,094","102,825",28,"24,723","78,102",326
MS0015,HARRIETTE PERSON MEMORIAL LIBRARY,Rural,"8,805","3,030",21,0,"3,030",0
MS0016,HARRISON COUNTY LIBRARY SYSTEM,City,"211,044","381,893",37,"23,682","358,211",164
MS0017,"THE LIBRARY OF HATTIESBURG, PETAL & FORREST C",City,"78,110","248,412",33,"30,426","217,986",0
MS0018,JUDGE ARMSTRONG LIBRARY,Town,"28,408","31,545",15,660,"30,885","17,036"
MS0019,HUMPHREYS COUNTY LIBRARY SYSTEM,Town,"7,333","6,032",15,341,"5,691",0
MS0020,JACKSON-GEORGE REGIONAL LIBRARY SYSTEM,Suburban,"170,181","461,862",25,"29,376","432,486",553
MS0021,JACKSON/HINDS LIBRARY SYSTEM,City,"217,730","128,301",43,"20,561","107,740",0
MS0022,UNION COUNTY LIBRARY SYSTEM,Town,"28,125","61,159",46,"1,899","59,260","3,565"
MS0023,KEMPER-NEWTON REGIONAL LIBRARY,Rural,"29,683","8,895",15,"1,274","7,621",3
MS0024,"LAUREL-JONES COUNTY LIBRARY SYSTEM, INC.",Town,"66,569","69,980",41,"7,452","62,528","1,425"
MS0025,LEE-ITAWAMBA LIBRARY SYSTEM,Town,"109,862","161,242",41,"18,572","142,670",0
MS0026,LINCOLN-LAWRENCE-FRANKLIN REGIONAL LIBRARY,Town,"54,072","84,194",50,"6,463","77,731",25
MS0027,LONG BEACH PUBLIC LIBRARY,Suburban,"16,856","31,218",42,123,"31,095","2,633"
MS0028,COLUMBUS-LOWNDES PUBLIC LIBRARY,Town,"57,603","62,370",34,"9,033","53,337",234
MS0029,MADISON COUNTY LIBRARY SYSTEM,Town,"111,113","285,685",46,"65,734","219,951","26,040"
MS0030,MARKS-QUITMAN COUNTY LIBRARY,Town,"5,701","3,343",26,585,"2,758",378
MS0031,MARSHALL COUNTY LIBRARY,Town,"34,110","22,565",24,0,"22,565",0
MS0032,MERIDIAN-LAUDERDALE COUNTY PUBLIC LIBRARY,Town,"70,904","60,363",56,"5,805","54,558",0
MS0033,MID-MISSISSIPPI REGIONAL LIBRARY,Town,"81,838","178,758",28,"32,180","146,578",0
MS0034,NESHOBA COUNTY PUBLIC LIBRARY,Town,"28,673","18,435",41,"1,600","16,835",
MS0034,NESHOBA COUNTY PUBLIC LIBRARY,Town,"28,673",,,,,-1
MS0035,NORTHEAST REGIONAL LIBRARY,Town,"99,730","163,213",26,"15,139","148,074",80
MS0036,NOXUBEE COUNTY LIBRARY,Town,"10,123","4,472",22,1,"4,471",0
MS0038,STARKVILLE-OKTIBBEHA COUNTY PUBLIC LIBRARY SYSTEM,Town,"51,427","86,896",54,"7,624","79,272",0
MS0039,PEARL RIVER COUNTY LIBRARY SYSTEM,Town,"57,261","61,334",16,"2,321","59,013",0
MS0040,PIKE-AMITE-WALTHALL LIBRARY SYSTEM,Town,"66,024","47,086",41,"3,101","43,985",0
MS0041,PINE FOREST REGIONAL LIBRARY,Rural,"43,589","18,245",27,"1,494","16,751","1,459"
MS0042,YAZOO LIBRARY ASSOCIATION,Town,"25,948","12,471",16,976,"11,495",0
MS0043,SOUTH MISSISSIPPI REGIONAL LIBRARY,Town,"35,512","40,495",30,"4,645","35,850",871
MS0044,SUNFLOWER COUNTY LIBRARY,Town,"24,811","17,311",36,"1,175","16,136",82
MS0045,TALLAHATCHIE COUNTY LIBRARY,Town,"12,035","1,479",39,316,"1,163",306
MS0046,TOMBIGBEE REGIONAL LIBRARY,Town,"61,950","61,878",31,"3,737","58,141",0
MS0047,WARREN COUNTY-VICKSBURG PUBLIC LIBRARY,Town,"42,649","131,420",24,"15,804","115,616","34,270"
MS0048,WASHINGTON COUNTY LIBRARY,Town,"42,514","52,469",32,"1,069","51,400",49
MS0049,BLACKMUR MEMORIAL LIBRARY,Rural,"3,301","3,217",14,261,"2,956",0
MS0050,SHARKEY-ISSAQUENA COUNTY LIBRARY,Rural,"4,761","14,682",22,250,"14,432",
MS0050,SHARKEY-ISSAQUENA COUNTY LIBRARY,Rural,"4,761",,,,,-1
MS0051,COVINGTON COUNTY LIBRARY SYSTEM,Rural,"18,098","12,263",44,737,"11,526",0
MS0052,WILKINSON COUNTY LIBRARY SYSTEM,Rural,"8,143","2,693",16,0,"2,693",0
MS8001,LAMAR COUNTY LIBRARY SYSTEM,Rural,"65,783","95,231",46,"7,137","88,094",181
MS8002,WAYNESBORO-WAYNE COUNTY LIBRARY SYSTEM,Town,"19,681","36,128",18,583,"35,545","19,912"
MS8003,CHOCTAW COUNTY LIBRARY SYSTEM,Rural,"8,037","8,725",54,"1,050","7,675",161
MT0003,FALLON COUNTY LIBRARY,Rural,"3,049","14,337",54,"1,962","12,375",92
MT0004,BELGRADE COMMUNITY LIBRARY,Town,"17,426","89,206",52,"17,400","71,806",283
MT0005,CARNEGIE PUBLIC LIBRARY,Rural,"3,678","21,899",37,"4,974","16,925",29
MT0006,BILLINGS PUBLIC LIBRARY,City,"157,509","620,126",37,"155,869","464,257",949
MT0007,JEFFERSON COUNTY LIBRARY - BOULDER,Rural,"5,759","36,117",34,"7,544","28,573",182
MT0008,BOZEMAN PUBLIC LIBRARY,Town,"84,410","678,434",41,"190,500","487,934",855
MT0009,BRIDGER PUBLIC LIBRARY,Rural,"2,511","6,540",10,"2,466","4,074",128
MT0010,HENRY A MALLEY MEMORIAL LIBRARY,Rural,"1,694","7,591",31,"2,859","4,732",
MT0010,HENRY A MALLEY MEMORIAL LIBRARY,Rural,"1,694",,,,,-1
MT0011,BUTTE-SILVER BOW PUBLIC LIBRARY,Town,"35,133","62,941",9,"24,898","38,043",
MT0011,BUTTE-SILVER BOW PUBLIC LIBRARY,Town,"35,133",,,,,-1
MT0012,WEDSWORTH MEMORIAL LIBRARY,Rural,"1,514","26,493",0,"1,500","24,993",148
MT0013,LIBERTY COUNTY LIBRARY,Rural,"1,959","35,048",43,"3,533","31,515",0
MT0014,BLAINE COUNTY LIBRARY,Rural,"4,290","39,541",22,"2,396","37,145","22,377"
MT0015,CHOTEAU/TETON PUBLIC LIBRARY,Rural,"2,892","9,777",18,"6,524","3,253",51
MT0016,GEORGE MCCONE MEMORIAL COUNTY LIBRARY,Rural,"1,729","14,888",19,792,"14,096","3,664"
MT0017,STILLWATER COUNTY LIBRARY,Rural,"8,963","39,857",28,"8,207","31,650","4,125"
MT0018,CONRAD PUBLIC LIBRARY,Town,"3,996","22,556",40,"3,254","19,302","1,327"
MT0019,GLACIER COUNTY LIBRARY,Town,"13,778","14,924",43,"3,681","11,243",
MT0019,GLACIER COUNTY LIBRARY,Town,"13,778",,,,,-1
MT0020,DARBY COMMUNITY PUBLIC LIBRARY,Rural,"4,323","14,419",12,"3,247","11,172",173
MT0021,WILLIAM K. KOHRS MEMORIAL LIBRARY,Town,"6,946","17,985",28,"5,485","12,500",0
MT0022,DENTON PUBLIC LIBRARY,Rural,500,"4,271",15,0,"4,271",3
MT0023,DILLON PUBLIC LIBRARY,Town,"9,371","29,601",32,"10,147","19,454","1,940"
MT0024,DRUMMOND SCHOOL & COMMUNITY LIBRARY,Rural,"1,826","7,774",65,"1,342","6,432",28
MT0025,DUTTON/TETON PUBLIC LIBRARY,Rural,"1,439","6,338",16,"1,173","5,165",
MT0025,DUTTON/TETON PUBLIC LIBRARY,Rural,"1,439",,,,,-1
MT0026,EKALAKA PUBLIC LIBRARY,Rural,"1,415","4,835",36,"1,103","3,732",30
MT0027,MADISON VALLEY PUBLIC LIBRARY,Rural,"1,305","33,643",49,"7,911","25,732",453
MT0028,FAIRFIELD/TETON PUBLIC LIBRARY,Rural,"1,895","6,472",46,"2,218","4,254",
MT0028,FAIRFIELD/TETON PUBLIC LIBRARY,Rural,"1,895",,,,,-1
MT0029,ROSEBUD COUNTY LIBRARY,Rural,"9,091","33,156",28,"6,532","26,624","1,329"
MT0030,CHOUTEAU COUNTY LIBRARY,Rural,"5,895","33,664",49,"5,758","27,906",70
MT0031,GLASGOW CITY-COUNTY LIBRARY,Town,"7,578","35,104",41,"6,712","28,392",112
MT0032,GLENDIVE PUBLIC LIBRARY,Town,"8,940","30,450",43,"7,435","23,015",49
MT0033,GREAT FALLS PUBLIC LIBRARY,City,"81,475","235,670",34,"61,824","173,846",263
MT0034,BITTERROOT PUBLIC LIBRARY,Town,"27,928","127,324",31,"33,404","93,920","1,491"
MT0035,BIG HORN COUNTY PUBLIC LIBRARY,Town,"13,124","10,878",12,"3,601","7,277",
MT0035,BIG HORN COUNTY PUBLIC LIBRARY,Town,"13,124",,,,,-1
MT0036,HARLEM PUBLIC LIBRARY,Rural,"2,754","9,542",24,"2,280","7,262","1,393"
MT0037,HARLOWTON PUBLIC LIBRARY,Rural,"2,069","12,829",36,"1,082","11,747",
MT0037,HARLOWTON PUBLIC LIBRARY,Rural,"2,069",,,,,-1
MT0038,HAVRE-HILL COUNTY LIBRARY,Town,"16,309","38,412",22,"13,856","24,556","3,473"
MT0039,LEWIS AND CLARK LIBRARY,Town,"70,973","458,976",29,"174,041","284,935","2,966"
MT0040,PRESTON HOT SPRINGS TOWN-COUNTY LIBRARY,Rural,"2,075","4,159",7,64,"4,095",0
MT0042,GARFIELD COUNTY LIBRARY,Rural,"1,173","3,864",63,525,"3,339",0
MT0043,IMAGINEIF KALISPELL,Town,"96,606","524,280",43,"131,381","392,899","1,542"
MT0044,LAUREL PUBLIC LIBRARY,Town,"7,222","34,425",42,"6,390","28,035",118
MT0045,LEWISTOWN PUBLIC LIBRARY,Town,"9,989","65,079",30,"13,211","51,868",115
MT0046,LINCOLN COUNTY PUBLIC LIBRARIES,Town,"19,677","70,441",31,"16,741","53,700",281
MT0047,LIVINGSTON-PARK COUNTY PUBLIC LIBRARY,Town,"17,191","91,233",35,"37,748","53,485",272
MT0048,PHILLIPS COUNTY LIBRARY,Rural,"4,217","8,921",37,"4,080","4,841",0
MT0049,MANHATTAN COMMUNITY SCHOOL LIBRARY,Rural,"8,290","26,488",45,"3,470","23,018","3,555"
MT0050,MILES CITY PUBLIC LIBRARY,Town,"11,867","38,003",26,"14,107","23,896",169
MT0051,MISSOULA PUBLIC LIBRARY,City,"117,922","698,707",33,"200,732","497,975","12,424"
MT0052,MOORE MEMORIAL PUBLIC LIBRARY,Rural,489,"1,605",66,5,"1,600",
MT0052,MOORE MEMORIAL PUBLIC LIBRARY,Rural,489,,,,,-1
MT0053,PHILIPSBURG PUBLIC LIBRARY,Rural,"1,483","8,749",16,"2,880","5,869",107
MT0054,PLAINS PUBLIC LIBRARY DISTRICT,Rural,"4,688","22,505",33,"5,340","17,165",816
MT0055,SHERIDAN COUNTY LIBRARY,Rural,"3,539","17,546",24,"6,070","11,476",122
