FSCS Key,Library Name,Locale,Service Area Population,Total Circulation,Percentage of Children's Material Circulation,Electronic Material Circulation,Print Material Circulation,Other Physical Item Circulation
AL0066,HAMILTON - CLYDE NIX PUBLIC LIBRARY,Town,"6,645","7,990",34,0,"7,990",0
AL0067,KENNEDY PUBLIC LIBRARY,Rural,421,341,24,0,341,0
AL0068,GUIN - MCHS COMMUNITY LIBRARY,Rural,"2,250",447,28,0,447,0
AL0069,MILLPORT PUBLIC LIBRARY,Rural,970,"1,314",71,0,"1,314",0
AL0070,RUSSELLVILLE PUBLIC LIBRARY,Town,"19,078","11,298",27,"1,963","9,335",406
AL0071,SULLIGENT PUBLIC LIBRARY,Rural,"1,834","2,946",24,0,"2,946",0
AL0072,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,Rural,"1,843","6,844",36,0,"6,844",410
AL0073,RED BAY - WEATHERFORD PUBLIC LIBRARY,Rural,"3,108","3,564",31,0,"3,564",0
AL0074,WINFIELD PUBLIC LIBRARY,Rural,"4,559","9,824",29,0,"9,824",16
AL0076,ATHENS - LIMESTONE PUBLIC LIBRARY,Town,"102,228","135,649",35,"36,481","99,168",39
AL0077,DECATUR PUBLIC LIBRARY,City,"87,765","161,465",42,"50,551","110,914",0
AL0078,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,Suburban,"22,927","46,227",42,"7,326","38,901",0
AL0079,LAWRENCE COUNTY PUBLIC LIBRARY,Rural,"30,608","18,026",27,"4,871","13,155",72
AL0080,BALDWIN COUNTY LIBRARY COOPERATIVE,Town,"102,040","9,766",51,"2,831","6,935",8
AL0081,DAPHNE PUBLIC LIBRARY,City,"27,719","198,291",35,"33,634","164,657",190
AL0082,FAIRHOPE PUBLIC LIBRARY,City,"23,584","190,884",37,"30,320","160,564",193
AL0083,FOLEY PUBLIC LIBRARY,Town,"21,446","379,989",29,"68,684","311,305","47,058"
AL0084,BAY MINETTE PUBLIC LIBRARY,Town,"9,509","69,777",26,"12,737","57,040",0
AL0085,LOXLEY PUBLIC LIBRARY,Suburban,"3,329","10,405",33,"1,622","8,783",25
AL0086,OSCAR JOHNSON MEMORIAL LIBRARY,Town,"1,285","2,605",53,0,"2,605",0
AL0087,ROBERTSDALE PUBLIC LIBRARY,Town,"7,030","43,667",33,"7,107","36,560",111
AL0088,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,Town,"13,166","72,359",15,"22,550","49,809","2,735"
AL0090,ADAMSVILLE PUBLIC LIBRARY,Suburban,"4,211","11,596",28,"2,776","8,820",71
