FSCS Key,Library Name,Locale,Service Area Population,Total Library Programs,Children's Programs,Young Adult Programs,Adult Programs,Total Program Attendance,Children's Program Attendance,Adult Program Attendance,General Interest Program Attendance,General Interest Programs
AK0134,WHALE PASS COMMUNITY LIBRARY,Rural,86,0,0,0,0,0,0,0,0,0
AK0137,KLUKWAN COMMUNITY/SCHOOL LIBRARY,Rural,87,10,2,2,2,,4,,19,4
AK0137,KLUKWAN COMMUNITY/SCHOOL LIBRARY,Rural,87,,,,,-1,,-1,,
AK0139,SAMUEL B. FOSS LIBRARY,Rural,43,12,0,0,12,42,0,42,0,0
AK0140,EDNA BAY COMMUNITY LIBRARY,Rural,25,12,4,2,0,167,10,0,152,6
AL0001,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,Town,"63,652",0,0,0,0,0,0,0,0,0
AL0002,ARLEY PUBLIC LIBRARY,Rural,340,18,9,0,5,707,142,105,460,4
AL0005,DOUBLE SPRINGS PUBLIC LIBRARY,Rural,"1,062",19,12,0,3,201,158,19,24,4
AL0006,HALEYVILLE PUBLIC LIBRARY,Town,"4,104",15,11,0,3,442,280,48,114,1
AL0007,JASPER PUBLIC LIBRARY,Town,"13,278",62,28,6,28,"1,099",802,250,0,0
AL0009,SUMITON PUBLIC LIBRARY,Town,"2,330",16,10,0,6,736,556,180,0,0
AL0010,CHEAHA REGIONAL LIBRARY,Rural,"99,877",14,0,0,14,22,0,22,0,0
AL0011,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,Town,"5,940",446,252,126,48,"6,075","4,802",716,483,20
AL0012,ASHLAND CITY PUBLIC LIBRARY,Rural,"1,872",154,55,34,41,"6,430","4,071","1,693",547,24
AL0013,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,Town,"11,939",285,134,0,151,"7,463","4,112","3,351",0,0
AL0014,CHEROKEE COUNTY PUBLIC LIBRARY,Town,"3,528",228,89,25,90,"2,064","1,212",639,128,24
AL0015,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,Town,"4,781",7,0,0,0,94,0,0,94,7
AL0016,LINCOLN PUBLIC LIBRARY,Rural,"6,979",43,26,17,0,744,693,0,0,0
AL0017,LINEVILLE PUBLIC LIBRARY,Rural,"2,221",61,40,10,5,461,373,44,12,6
