FSCS Key,Library Name,Locale,Service Area Population,Central Library,Branch Library,Bookmobiles
AL0063,ROGERSVILLE PUBLIC LIBRARY,Rural,"1,293",1,0,0
AL0064,SHEFFIELD PUBLIC LIBRARY,Suburban,"13,135",1,0,0
AL0065,NORTHWEST REGIONAL LIBRARY,Rural,"34,266",1,0,0
AL0066,HAMILTON - CLYDE NIX PUBLIC LIBRARY,Town,"6,645",1,0,0
AL0067,KENNEDY PUBLIC LIBRARY,Rural,421,1,0,0
AL0068,GUIN - MCHS COMMUNITY LIBRARY,Rural,"2,250",1,0,0
AL0069,MILLPORT PUBLIC LIBRARY,Rural,970,1,0,0
AL0070,RUSSELLVILLE PUBLIC LIBRARY,Town,"19,078",1,0,0
AL0071,SULLIGENT PUBLIC LIBRARY,Rural,"1,834",1,0,0
AL0072,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,Rural,"1,843",1,0,0
AL0073,RED BAY - WEATHERFORD PUBLIC LIBRARY,Rural,"3,108",1,0,0
AL0074,WINFIELD PUBLIC LIBRARY,Rural,"4,559",1,0,0
AL0076,ATHENS - LIMESTONE PUBLIC LIBRARY,Town,"102,228",1,0,0
AL0077,DECATUR PUBLIC LIBRARY,City,"87,765",1,0,0
AL0078,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,Suburban,"22,927",1,0,0
AL0079,LAWRENCE COUNTY PUBLIC LIBRARY,Rural,"30,608",1,0,0
AL0080,BALDWIN COUNTY LIBRARY COOPERATIVE,Town,"102,040",1,0,1
AL0081,DAPHNE PUBLIC LIBRARY,City,"27,719",1,0,0
AL0082,FAIRHOPE PUBLIC LIBRARY,City,"23,584",1,0,0
AL0083,FOLEY PUBLIC LIBRARY,Town,"21,446",1,0,0
AL0084,BAY MINETTE PUBLIC LIBRARY,Town,"9,509",1,0,0
AL0085,LOXLEY PUBLIC LIBRARY,Suburban,"3,329",1,0,0
AL0086,OSCAR JOHNSON MEMORIAL LIBRARY,Town,"1,285",1,0,0
AL0087,ROBERTSDALE PUBLIC LIBRARY,Town,"7,030",1,0,0
AL0088,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,Town,"13,166",1,0,0
AL0090,ADAMSVILLE PUBLIC LIBRARY,Suburban,"4,211",1,0,0
AL0091,BESSEMER PUBLIC LIBRARY,Suburban,"26,043",1,0,0
AL0092,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,Suburban,"20,034",1,0,0
AL0093,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,Suburban,"10,457",1,0,0
AL0094,FULTONDALE PUBLIC LIBRARY,Suburban,"9,269",1,0,0
AL0095,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,Suburban,"14,113",1,0,0
AL0096,GRAYSVILLE PUBLIC LIBRARY,Suburban,"2,066",1,0,0
AL0097,HOMEWOOD PUBLIC LIBRARY,Suburban,"25,174",1,0,0
AL0098,HOOVER PUBLIC LIBRARY,City,"85,959",1,0,0
AL0099,HUEYTOWN PUBLIC LIBRARY,Suburban,"15,202",1,0,0
AL0100,IRONDALE PUBLIC LIBRARY,Suburban,"13,226",1,0,0
AL0101,LEEDS - JANE CULBRETH LIBRARY,Suburban,"12,026",1,0,0
AL0102,MIDFIELD PUBLIC LIBRARY,Suburban,"4,955",1,0,0
AL0103,PLEASANT GROVE PUBLIC LIBRARY,Suburban,"9,578",1,0,0
AL0104,TARRANT PUBLIC LIBRARY,Suburban,"6,081",1,0,0
AL0105,TRUSSVILLE PUBLIC LIBRARY,Suburban,"23,048",1,0,0
AL0106,VESTAVIA HILLS LIBRARY IN THE FOREST,Suburban,"34,317",1,0,0
AL0107,WARRIOR PUBLIC LIBRARY,Rural,"3,190",1,0,0
AL0108,BIRMINGHAM PUBLIC LIBRARY,City,"206,950",1,17,0
AL0109,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,Town,"58,724",1,0,0
AL0110,COLLINSVILLE PUBLIC LIBRARY,Rural,"1,938",1,0,0
AL0111,GERALDINE PUBLIC LIBRARY,Rural,896,1,0,0
AL0112,RAINSVILLE PUBLIC LIBRARY,Rural,"5,149",1,0,0
AL0113,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,Town,"20,814",1,0,0
AL0114,ATMORE PUBLIC,Town,"8,949",1,0,0
AL0115,BREWTON PUBLIC LIBRARY,Town,"5,141",1,0,0
AL0116,FLOMATON PUBLIC LIBRARY,Town,"1,377",1,0,0
AL0117,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,City,"66,102",1,2,0
AL0118,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,Suburban,"5,832",1,0,1
AL0119,RAINBOW CITY PUBLIC LIBRARY,Suburban,"9,603",1,0,0
AL0121,DEMOPOLIS PUBLIC LIBRARY,Town,"11,710",1,0,0
AL0122,MARENGO COUNTY PUBLIC LIBRARY,Rural,"7,023",1,0,0
AL0123,MARSHALL COUNTY COOPERATIVE LIBRARY,Rural,"47,523",0,0,1
AL0124,ARAB PUBLIC LIBRARY,Town,"8,406",1,0,0
AL0125,BOAZ PUBLIC LIBRARY,Town,"9,706",1,0,0
AL0126,GUNTERSVILLE PUBLIC LIBRARY,Town,"8,676",1,0,0
AL0127,ALBERTVILLE PUBLIC LIBRARY,Town,"21,777",1,0,0
AL0128,HARRISON REGIONAL LIBRARY SYSTEM,Town,"46,094",1,2,0
AL0129,ALABASTER - ALBERT L. SCOTT LIBRARY,Suburban,"33,701",1,0,0
AL0130,CALERA PUBLIC LIBRARY,Rural,"15,248",1,0,0
AL0131,COLUMBIANA PUBLIC LIBRARY,Town,"4,682",1,0,0
AL0132,HELENA - JANE B. HOLMES PUBLIC LIBRARY,Suburban,"20,374",1,0,0
AL0133,VINCENT - LALLOUISE F. MCGRAW LIBRARY,Rural,"2,223",1,0,0
AL0134,MONTEVALLO - PARNELL MEMORIAL LIBRARY,Suburban,"7,098",1,0,0
AL0135,PELHAM PUBLIC LIBRARY,Suburban,"24,231",1,0,0
AL0136,WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,Rural,"2,069",1,0,0
AL0137,NORTH SHELBY LIBRARY,Suburban,"51,100",1,1,0
AL0140,ALICEVILLE PUBLIC LIBRARY,Rural,"2,231",1,0,0
AL0141,CARROLLTON PUBLIC LIBRARY,Rural,935,1,0,0
AL0142,GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,Rural,"1,594",1,0,0
AL0143,REFORM PUBLIC LIBRARY,Rural,"1,546",1,0,0
AL0145,MCCAIN MEMORIAL PUBLIC LIBRARY,Rural,"9,153",1,0,0
AL0146,MOODY - DORIS STANLEY MEMORIAL LIBRARY,Suburban,"20,049",1,0,0
AL0147,ODENVILLE PUBLIC LIBRARY,Rural,"10,642",1,0,0
AL0148,PELL CITY PUBLIC LIBRARY,Town,"23,428",1,0,0
AL0151,YORK - HIGHTOWER MEMORIAL LIBRARY,Rural,"5,654",1,0,0
AL0152,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,Rural,"6,571",1,0,0
AL0154,ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,City,"72,914",1,1,1
AL0155,JACKSONVILLE PUBLIC LIBRARY,Suburban,"12,972",1,0,0
AL0156,PIEDMONT PUBLIC LIBRARY,Town,"4,470",1,0,0
AL0157,AKRON PUBLIC LIBRARY,Rural,"1,739",1,0,0
AL0158,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,City,"106,580",1,2,1
AL0159,BLOUNTSVILLE PUBLIC LIBRARY,Rural,"14,062",1,0,0
AL0160,CHEROKEE PUBLIC LIBRARY,Rural,"5,295",1,0,0
AL0161,BRENT - CENTREVILLE PUBLIC LIBRARY,Town,"18,280",1,0,0
AL0162,CHILTON - CLANTON PUBLIC LIBRARY,Town,"44,397",1,2,0
AL0163,CHOCTAW COUNTY PUBLIC LIBRARY,Rural,"12,418",1,1,0
