FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Internet Computers,Computer Uses,Wireless Sessions
AL0030,LOUISVILLE PUBLIC LIBRARY,Rural,,"2,560",2,18,0
AL0031,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,Suburban,,"2,377",16,"3,821","5,790"
AL0032,NEWTON PUBLIC LIBRARY,Rural,,"2,079",16,"1,833",423
AL0033,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,Rural,,"4,933",6,"2,420","2,500"
AL0034,TROY PUBLIC LIBRARY,Town,,"26,983",16,"3,791","3,116"
AL0035,UNION SPRINGS PUBLIC LIBRARY,Town,,"9,976",16,"2,989",245
AL0037,ANDALUSIA PUBLIC LIBRARY,Town,,"17,867",10,"4,158",95
AL0038,BRANTLEY PUBLIC LIBRARY,Rural,,"3,412",2,40,"2,450"
AL0039,ELBA PUBLIC LIBRARY,Rural,,"10,013",9,"1,306","1,660"
AL0040,GENEVA - EMMA KNOX KENAN LIBRARY,Town,,"8,206",6,696,"5,060"
AL0041,ENTERPRISE PUBLIC LIBRARY,Town,,"43,217",28,"8,335","1,838"
AL0042,FLORALA PUBLIC LIBRARY,Rural,,"6,298",10,"1,120",560
AL0043,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,Rural,,"6,535",5,"1,303",632
AL0044,LUVERNE PUBLIC LIBRARY,Rural,,"10,269",14,"1,973","1,300"
AL0045,OPP PUBLIC LIBRARY,Rural,,"12,765",10,"1,217","2,521"
AL0046,SAMSON PUBLIC LIBRARY,Rural,,"5,797",6,292,0
AL0047,SLOCOMB PUBLIC LIBRARY,Rural,,"5,873",8,"2,500",0
AL0048,HORSESHOE BEND REGIONAL LIBRARY,Rural,,"151,407",0,0,"5,338"
AL0049,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,Town,,"14,142",27,"4,246","15,731"
AL0050,DADEVILLE PUBLIC LIBRARY,Rural,,"3,007",11,"2,560","8,688"
AL0051,GOODWATER PUBLIC LIBRARY,Rural,,"1,288",11,950,"5,907"
AL0052,AUBURN PUBLIC LIBRARY,City,,"68,343",35,"22,858",0
AL0053,OPELIKA PUBLIC LIBRARY,City,,"31,135",40,"12,813","72,508"
AL0054,MILLBROOK PUBLIC LIBRARY,Suburban,,"16,117",23,"1,827","8,810"
AL0055,ROCKFORD PUBLIC LIBRARY,Rural,,440,2,155,155
AL0056,TALLASSEE COMMUNITY PUBLIC LIBRARY,Rural,,"4,454",12,"3,465","9,410"
AL0057,WETUMPKA PUBLIC LIBRARY,Town,,"8,431",13,"4,711","8,236"
AL0059,FLORENCE - LAUDERDALE PUBLIC LIBRARY,City,,"90,402",61,"14,354","5,652"
AL0060,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,Suburban,,"12,758",11,"3,311","10,703"
AL0061,LEIGHTON PUBLIC LIBRARY,Rural,,"5,050",4,"5,422","19,000"
AL0062,MUSCLE SHOALS PUBLIC LIBRARY,City,,"19,173",20,"4,074","26,000"
AL0063,ROGERSVILLE PUBLIC LIBRARY,Rural,,"1,293",18,"1,735","8,796"
AL0064,SHEFFIELD PUBLIC LIBRARY,Suburban,,"13,135",12,"1,343","4,351"
AL0065,NORTHWEST REGIONAL LIBRARY,Rural,,"34,266",0,0,0
AL0066,HAMILTON - CLYDE NIX PUBLIC LIBRARY,Town,,"6,645",6,"2,178",982
AL0067,KENNEDY PUBLIC LIBRARY,Rural,,421,4,104,13
AL0068,GUIN - MCHS COMMUNITY LIBRARY,Rural,,"2,250",10,87,10
AL0069,MILLPORT PUBLIC LIBRARY,Rural,,970,4,218,8
AL0070,RUSSELLVILLE PUBLIC LIBRARY,Town,,"19,078",4,"2,764","6,273"
