FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Internet Computers,Computer Uses,Wireless Sessions
MO0059,NORTHEAST MISSOURI LIBRARY SERVICE,Rural,,"17,686",9,"1,023",811
MO0060,OZARK REGIONAL LIBRARY,Town,,"22,163",30,"6,247",463
MO0061,PUTNAM COUNTY PUBLIC LIBRARY,Rural,,"4,681",6,"3,735","3,200"
MO0062,RAY COUNTY LIBRARY,Town,,"23,158",20,"6,728","2,958"
MO0065,SCENIC REGIONAL LIBRARY,Town,,"147,730",84,"27,071","63,617"
MO0066,SCOTLAND COUNTY MEMORIAL LIBRARY,Rural,,"4,716",4,443,"1,177"
MO0067,SULLIVAN COUNTY PUBLIC LIBRARY,Rural,,"5,999",4,358,0
MO0068,WASHINGTON COUNTY LIBRARY,Town,,"23,514",18,"5,200","5,350"
MO0069,DE SOTO PUBLIC LIBRARY,Town,,"6,449",10,"3,253","4,138"
MO0071,WASHINGTON PUBLIC LIBRARY,Town,,"8,771",25,"5,306","21,144"
MO0072,CARROLLTON PUBLIC LIBRARY,Town,,"3,514",12,"3,653","7,972"
MO0073,FERGUSON MUNICIPAL PUBLIC LIBRARY DISTRICT,Suburban,,"18,527",32,"8,417","21,150"
MO0074,CITY OF WELLSVILLE MUNICIPAL LIBRARY DISTRICT,Rural,,998,4,80,7
MO0075,FARMINGTON PUBLIC LIBRARY,Town,,"18,217",39,"5,928",461
MO0076,KIRKWOOD PUBLIC LIBRARY,Suburban,,"29,461",24,"12,055","4,723"
MO0077,CRYSTAL CITY PUBLIC LIBRARY,Rural,,"4,740",10,710,600
MO0078,BRENTWOOD PUBLIC LIBRARY,Suburban,,"8,233",5,"1,463",0
MO0079,RICHMOND HEIGHTS MEMORIAL LIBRARY,Suburban,,"9,286",8,"4,521","4,145"
MO0080,PARK HILLS PUBLIC LIBRARY,Town,,"8,587",11,"1,025",195
MO0081,MONROE CITY PUBLIC LIBRARY,Rural,,"2,522",6,571,50
MO0082,FESTUS PUBLIC LIBRARY,Suburban,,"12,706",10,"2,897","1,672"
MO0083,VALLEY PARK COMMUNITY LIBRARY,Suburban,,"3,140",5,"1,000","1,000"
MO0084,WEBSTER GROVES PUBLIC LIBRARY,Suburban,,"24,010",13,"3,574",400
MO0085,ROCK HILL PUBLIC LIBRARY,Suburban,,"4,750",6,264,"1,456"
MO0087,DALLAS COUNTY LIBRARY,Town,,"17,071",10,"4,154",577
MO0088,HENRY COUNTY LIBRARY,Town,,"21,946",14,"4,571","18,845"
MO0089,HOWARD COUNTY PUBLIC LIBRARY,Town,,"9,094",9,656,936
MO0090,SEDALIA PUBLIC LIBRARY,Town,,"20,022",8,"2,647",365
MO0091,MEXICO-AUDRAIN COUNTY LIBRARY DISTRICT,Town,,"24,962",32,"4,513","4,173"
MO0092,CENTRALIA PUBLIC LIBRARY,Town,,"4,053",18,"3,575","28,289"
MO0094,ROLLA PUBLIC LIBRARY,Town,,"19,943",14,"5,456","36,148"
MO0095,CAMDEN COUNTY LIBRARY,Town,,"42,745",62,"13,913","367,713"
MO0096,NORBORNE PUBLIC LIBRARY,Rural,,634,2,23,54
MO0097,CAMERON PUBLIC LIBRARY,Town,,"8,513",8,"6,312","2,478"
MO0098,ALBANY CARNEGIE PUBLIC LIBRARY,Rural,,"1,670",9,513,57
MO0099,CANTON PUBLIC LIBRARY,Rural,,"2,724",6,"1,562",
MO0099,CANTON PUBLIC LIBRARY,Rural,Data Note: Missing,"2,724",,,-1
MO0100,LOUISIANA PUBLIC LIBRARY,Town,,"3,199",6,743,118
MO0101,MACON PUBLIC LIBRARY,Town,,"5,457",7,"2,350","1,750"
MO0102,CARNEGIE PUBLIC LIBRARY,Rural,,"1,613",5,"1,490",685
MO0103,SWEET SPRINGS PUBLIC LIBRARY,Rural,,"1,316",5,181,15
MO0104,ROBERTSON MEMORIAL LIBRARY,Town,,"4,261",3,520,0
MO0105,SALEM PUBLIC LIBRARY,Town,,"4,608",11,"1,220","3,595"
MO0106,MCDONALD COUNTY LIBRARY,Rural,,"23,303",26,"3,056","4,789"
MO0107,WILLOW SPRINGS PUBLIC LIBRARY,Rural,,"2,164",5,602,"1,500"
MO0108,WEST PLAINS PUBLIC LIBRARY,Town,,"12,184",34,"7,669","37,918"
MO0109,NEVADA PUBLIC LIBRARY,Town,,"8,212",22,"4,109","3,873"
MO0110,CHRISTIAN COUNTY LIBRARY,Suburban,,"88,842",47,"14,537","299,541"
MO0111,DOUGLAS COUNTY PUBLIC LIBRARY,Town,,"11,578",10,"1,924",208
MO0112,SEYMOUR COMMUNITY LIBRARY,Rural,,993,7,"1,664",572
MO0113,SAINT CLAIR COUNTY LIBRARY,Rural,,"8,252",33,"2,532","1,570"
MO0114,WEBB CITY PUBLIC LIBRARY,Suburban,,"13,031",12,"2,981","1,516"
MO0115,LILBOURN MEMORIAL LIBRARY,Rural,,822,4,20,0
MO0116,TEXAS COUNTY LIBRARY,Rural,,"24,487",54,"8,024","1,208"
MO0117,BONNE TERRE MEMORIAL LIBRARY,Town,,"6,903",14,"1,032",815
MO0118,DULANY MEMORIAL LIBRARY,Rural,,"1,563",6,515,149
MO0119,LAPLATA PUBLIC LIBRARY,Rural,,"1,257",4,82,156
MO0120,MOUND CITY PUBLIC LIBRARY,Rural,,"1,004",9,"1,900","1,040"
MO0121,CARTHAGE PUBLIC LIBRARY,Town,,"15,522",37,"5,365","4,633"
MO0122,BOLLINGER COUNTY LIBRARY,Rural,,"10,567",28,"2,080","6,240"
MO0123,CARUTHERSVILLE PUBLIC LIBRARY,Town,,"5,562",15,"4,502","15,698"
MO0124,STEELE PUBLIC LIBRARY,Rural,,"1,853",5,282,170
MO0125,POPLAR BLUFF MUNICIPAL LIBRARY DISTRICT,Town,,"16,225",26,"8,343","13,109"
MO0126,DUNKLIN COUNTY LIBRARY,Town,,"28,283",77,"31,824","14,890"
MO0127,SIKESTON PUBLIC LIBRARY,Town,,"14,435",6,"1,434","6,879"
MO0128,RIVERSIDE REGIONAL LIBRARY,Suburban,,"85,846",59,"6,331","14,260"
MO0130,CHAFFEE PUBLIC LIBRARY,Town,,"3,057",6,"2,496","2,600"
MO0132,NEW MADRID COUNTY LIBRARY,Town,,"14,829",8,"1,519","51,782"
MO0137,REYNOLDS COUNTY LIBRARY DISTRICT,Rural,,"6,096",13,"1,448","6,890"
MO0138,DONIPHAN-RIPLEY COUNTY LIBRARY DISTRICT,Rural,,"10,679",18,"5,616","7,300"
MO0139,WORTH COUNTY LIBRARY,Rural,,"1,973",4,75,0
MO0140,MARSHALL PUBLIC LIBRARY,Town,,"13,806",5,"1,250","5,000"
MO0141,JAMES MEMORIAL LIBRARY,Town,,"3,935",8,621,264
MO0143,CARTER COUNTY LIBRARY,Rural,,"5,202",19,"4,100","3,600"
MO0145,CLARENCE PUBLIC LIBRARY,Rural,,738,3,36,0
MO0147,JEFFERSON COUNTY LIBRARY DISTRICT,Suburban,,"135,409",40,"8,921","3,083"
MO0151,BOWLING GREEN PUBLIC LIBRARY,Town,,"4,195",6,"2,387",413
MO0160,BLOOMFIELD PUBLIC LIBRARY,Rural,,"1,755",10,"1,323",0
MO0164,OREGON COUNTY LIBRARY DISTRICT,Rural,,"8,635",30,"4,729","3,027"
MO0166,PUXICO PUBLIC LIBRARY,Rural,,873,7,232,281
MO0168,BERNIE PUBLIC LIBRARY,Rural,,"1,859",4,346,0
MO0169,RALLS COUNTY LIBRARY,Rural,,"10,065",4,151,"1,248"
MO0172,MONITEAU COUNTY LIBRARY,Town,,"12,553",14,"3,899","1,153"
MO0173,BARTON COUNTY LIBRARY,Town,,"11,637",24,"1,084","12,809"
MO0174,HEARTLAND REGIONAL LIBRARY SYSTEM,Rural,,"33,154",18,"4,181","25,020"
MO0175,MISSOURI RIVER REGIONAL LIBRARY,City,,"90,553",33,"27,371","10,058"
MO0178,CEDAR COUNTY LIBRARY DISTRICT,Rural,,"14,188",18,"5,556","3,851"
MO0179,DADE COUNTY LIBRARY,Rural,,"6,763",8,983,982
MO0180,HICKORY COUNTY LIBRARY,Rural,,"8,279",10,"1,079",750
MO0181,POLK COUNTY LIBRARY,Town,,"31,519",25,"9,569","7,514"
MO0190,WEBSTER COUNTY LIBRARY,Town,,"38,092",19,"5,839",585
MO0198,LEBANON-LACLEDE COUNTY LIBRARY,Town,,"36,039",12,"14,782",
MO0198,LEBANON-LACLEDE COUNTY LIBRARY,Town,Data Note: Missing,"36,039",,,-1
MO0199,PULASKI COUNTY LIBRARY,Town,,"52,759",19,"4,099","3,603"
MO0205,SCHUYLER COUNTY LIBRARY DISTRICT,Rural,,"4,032",5,312,
MO0205,SCHUYLER COUNTY LIBRARY DISTRICT,Rural,Data Note: Missing,"4,032",,,-1
MO0206,ROLLING HILLS CONSOLIDATED,City,,"41,674",18,"13,956","6,964"
MO0227,SAINT JOSEPH PUBLIC LIBRARY,City,,"61,254",47,"8,952","62,646"
MO0228,ADVANCE COMMUNITY LIBRARY,Rural,,"1,349",6,536,0
MO0229,CALDWELL COUNTY LIBRARY,Rural,,"6,867",11,"2,496","3,120"
MO0232,ADRIAN COMMUNITY LIBRARY,Rural,,"1,730",5,353,985
MO0233,PRICE JAMES MEMORIAL LIBRARY,Town,,"2,920",13,586,322
MO0234,CRAWFORD COUNTY LIBRARY,Rural,,"21,563",22,"4,368","1,872"
MP0001,JOETEN-KIYU PUBLIC LIBRARY,Town,,"47,329",40,"39,651","4,529"
MS0001,BENTON COUNTY LIBRARY,Rural,,"7,550",14,"1,075","1,857"
MS0002,YALOBUSHA COUNTY LIBRARY,Rural,,"12,364",9,652,"3,140"
MS0003,BOLIVAR COUNTY LIBRARY,Town,,"29,370",54,"10,376","13,799"
MS0004,CARROLL COUNTY PUBLIC LIBRARY SYSTEM,Rural,,"9,731",4,65,85
MS0005,CARNEGIE PUBLIC LIBRARY,Town,,"20,197",20,"1,817","22,500"
MS0006,CENTRAL MISSISSIPPI REGIONAL LIBRARY,Suburban,,"226,365",179,"33,498","62,198"
MS0008,COPIAH-JEFFERSON REGIONAL LIBRARY,Town,,"34,806",42,"2,532",588
MS0009,DIXIE REGIONAL LIBRARY SYSTEM,Town,,"60,982",72,"17,255","10,969"
MS0010,EAST MISSISSIPPI REGIONAL LIBRARY,Rural,,"31,438",52,"4,632","4,235"
MS0011,ELIZABETH JONES LIBRARY,Town,,"21,088",16,"5,566","18,764"
MS0012,GREENWOOD-LEFLORE PUBLIC LIBRARY,Town,,"26,570",26,"6,694","5,742"
MS0013,FIRST REGIONAL LIBRARY,Suburban,,"319,753",336,"74,180","985,183"
MS0014,HANCOCK COUNTY LIBRARY,Suburban,,"46,094",131,"13,906","69,797"
MS0015,HARRIETTE PERSON MEMORIAL LIBRARY,Rural,,"8,805",15,986,"4,308"
MS0016,HARRISON COUNTY LIBRARY SYSTEM,City,,"211,044",141,"41,931","19,806"
MS0017,"THE LIBRARY OF HATTIESBURG, PETAL & FORREST C",City,,"78,110",55,"18,826","24,176"
MS0018,JUDGE ARMSTRONG LIBRARY,Town,,"28,408",26,"4,352","12,122"
MS0019,HUMPHREYS COUNTY LIBRARY SYSTEM,Town,,"7,333",8,"2,598","1,457"
MS0020,JACKSON-GEORGE REGIONAL LIBRARY SYSTEM,Suburban,,"170,181",107,"26,674","115,593"
MS0021,JACKSON/HINDS LIBRARY SYSTEM,City,,"217,730",272,"46,882",
MS0021,JACKSON/HINDS LIBRARY SYSTEM,City,Data Note: Missing,"217,730",,,-1
MS0022,UNION COUNTY LIBRARY SYSTEM,Town,,"28,125",16,"10,211","25,000"
MS0023,KEMPER-NEWTON REGIONAL LIBRARY,Rural,,"29,683",24,"3,568","4,630"
MS0024,"LAUREL-JONES COUNTY LIBRARY SYSTEM, INC.",Town,,"66,569",37,"3,734","34,523"
MS0025,LEE-ITAWAMBA LIBRARY SYSTEM,Town,,"109,862",37,"16,528","81,344"
MS0026,LINCOLN-LAWRENCE-FRANKLIN REGIONAL LIBRARY,Town,,"54,072",72,"8,684","57,850"
MS0027,LONG BEACH PUBLIC LIBRARY,Suburban,,"16,856",18,"2,862","6,552"
MS0028,COLUMBUS-LOWNDES PUBLIC LIBRARY,Town,,"57,603",33,"25,896","191,851"
MS0029,MADISON COUNTY LIBRARY SYSTEM,Town,,"111,113",58,"22,174","15,747"
MS0030,MARKS-QUITMAN COUNTY LIBRARY,Town,,"5,701",10,"5,300","13,953"
MS0031,MARSHALL COUNTY LIBRARY,Town,,"34,110",16,"8,100","9,228"
MS0032,MERIDIAN-LAUDERDALE COUNTY PUBLIC LIBRARY,Town,,"70,904",16,"10,724","2,103"
MS0033,MID-MISSISSIPPI REGIONAL LIBRARY,Town,,"81,838",90,"19,399","51,746"
MS0034,NESHOBA COUNTY PUBLIC LIBRARY,Town,,"28,673",7,"40,000","100,000"
MS0035,NORTHEAST REGIONAL LIBRARY,Town,,"99,730",54,"13,587","14,945"
MS0036,NOXUBEE COUNTY LIBRARY,Town,,"10,123",24,"1,100",812
MS0038,STARKVILLE-OKTIBBEHA COUNTY PUBLIC LIBRARY SYSTEM,Town,,"51,427",23,"1,972","25,008"
MS0039,PEARL RIVER COUNTY LIBRARY SYSTEM,Town,,"57,261",20,"4,227","5,250"
MS0040,PIKE-AMITE-WALTHALL LIBRARY SYSTEM,Town,,"66,024",75,"15,661","51,910"
MS0041,PINE FOREST REGIONAL LIBRARY,Rural,,"43,589",26,"2,742","9,180"
MS0042,YAZOO LIBRARY ASSOCIATION,Town,,"25,948",10,"9,781","3,288"
MS0043,SOUTH MISSISSIPPI REGIONAL LIBRARY,Town,,"35,512",29,"7,089","259,808"
MS0044,SUNFLOWER COUNTY LIBRARY,Town,,"24,811",29,"2,714","116,792"
MS0045,TALLAHATCHIE COUNTY LIBRARY,Town,,"12,035",10,"1,046",104
MS0046,TOMBIGBEE REGIONAL LIBRARY,Town,,"61,950",50,"9,037","139,400"
MS0047,WARREN COUNTY-VICKSBURG PUBLIC LIBRARY,Town,,"42,649",7,"4,399","1,057"
MS0048,WASHINGTON COUNTY LIBRARY,Town,,"42,514",30,"29,971","18,426"
MS0049,BLACKMUR MEMORIAL LIBRARY,Rural,,"3,301",4,613,
MS0049,BLACKMUR MEMORIAL LIBRARY,Rural,Data Note: Missing,"3,301",,,-1
MS0050,SHARKEY-ISSAQUENA COUNTY LIBRARY,Rural,,"4,761",7,"2,334","1,215"
MS0051,COVINGTON COUNTY LIBRARY SYSTEM,Rural,,"18,098",21,"4,040","9,453"
MS0052,WILKINSON COUNTY LIBRARY SYSTEM,Rural,,"8,143",8,450,297
MS8001,LAMAR COUNTY LIBRARY SYSTEM,Rural,,"65,783",28,"7,102","61,194"
MS8002,WAYNESBORO-WAYNE COUNTY LIBRARY SYSTEM,Town,,"19,681",16,"4,776","9,087"
MS8003,CHOCTAW COUNTY LIBRARY SYSTEM,Rural,,"8,037",12,"1,047","8,621"
MT0003,FALLON COUNTY LIBRARY,Rural,,"3,049",10,"1,857",190
MT0004,BELGRADE COMMUNITY LIBRARY,Town,,"17,426",8,"3,295","7,436"
MT0005,CARNEGIE PUBLIC LIBRARY,Rural,,"3,678",5,"1,114",0
MT0006,BILLINGS PUBLIC LIBRARY,City,,"157,509",94,"19,089","301,542"
MT0007,JEFFERSON COUNTY LIBRARY - BOULDER,Rural,,"5,759",19,"2,646","1,884"
MT0008,BOZEMAN PUBLIC LIBRARY,Town,,"84,410",30,"10,601",0
MT0009,BRIDGER PUBLIC LIBRARY,Rural,,"2,511",3,832,728
MT0010,HENRY A MALLEY MEMORIAL LIBRARY,Rural,,"1,694",4,"2,080",0
MT0011,BUTTE-SILVER BOW PUBLIC LIBRARY,Town,,"35,133",37,687,"2,900"
MT0012,WEDSWORTH MEMORIAL LIBRARY,Rural,,"1,514",6,"1,032","147,745"
MT0013,LIBERTY COUNTY LIBRARY,Rural,,"1,959",4,150,350
MT0014,BLAINE COUNTY LIBRARY,Rural,,"4,290",18,"1,276","21,256"
MT0015,CHOTEAU/TETON PUBLIC LIBRARY,Rural,,"2,892",4,949,"3,325"
MT0016,GEORGE MCCONE MEMORIAL COUNTY LIBRARY,Rural,,"1,729",1,50,800
MT0017,STILLWATER COUNTY LIBRARY,Rural,,"8,963",9,"2,623","9,479"
MT0018,CONRAD PUBLIC LIBRARY,Town,,"3,996",6,"1,841",
MT0018,CONRAD PUBLIC LIBRARY,Town,Data Note: Missing,"3,996",,,-1
MT0019,GLACIER COUNTY LIBRARY,Town,,"13,778",0,0,"3,599"
MT0020,DARBY COMMUNITY PUBLIC LIBRARY,Rural,,"4,323",13,"5,000","2,525"
MT0021,WILLIAM K. KOHRS MEMORIAL LIBRARY,Town,,"6,946",7,"9,450",0
MT0022,DENTON PUBLIC LIBRARY,Rural,,500,2,110,315
MT0023,DILLON PUBLIC LIBRARY,Town,,"9,371",14,"1,795",953
MT0024,DRUMMOND SCHOOL & COMMUNITY LIBRARY,Rural,,"1,826",8,208,
MT0024,DRUMMOND SCHOOL & COMMUNITY LIBRARY,Rural,Data Note: Missing,"1,826",,,-1
MT0025,DUTTON/TETON PUBLIC LIBRARY,Rural,,"1,439",6,"2,530","2,818"
MT0026,EKALAKA PUBLIC LIBRARY,Rural,,"1,415",6,305,0
MT0027,MADISON VALLEY PUBLIC LIBRARY,Rural,,"1,305",6,"2,888","5,101"
MT0028,FAIRFIELD/TETON PUBLIC LIBRARY,Rural,,"1,895",5,260,156
MT0029,ROSEBUD COUNTY LIBRARY,Rural,,"9,091",7,"3,886",607
MT0030,CHOUTEAU COUNTY LIBRARY,Rural,,"5,895",6,"6,863",515
MT0031,GLASGOW CITY-COUNTY LIBRARY,Town,,"7,578",3,"1,248","2,184"
MT0032,GLENDIVE PUBLIC LIBRARY,Town,,"8,940",11,"8,038","3,369"
MT0033,GREAT FALLS PUBLIC LIBRARY,City,,"81,475",23,"19,317","86,679"
MT0034,BITTERROOT PUBLIC LIBRARY,Town,,"27,928",7,"7,985","51,873"
MT0035,BIG HORN COUNTY PUBLIC LIBRARY,Town,,"13,124",13,"4,152","1,612"
MT0036,HARLEM PUBLIC LIBRARY,Rural,,"2,754",7,"1,332",703
MT0037,HARLOWTON PUBLIC LIBRARY,Rural,,"2,069",8,720,0
MT0038,HAVRE-HILL COUNTY LIBRARY,Town,,"16,309",14,"5,020","15,550"
MT0039,LEWIS AND CLARK LIBRARY,Town,,"70,973",17,"18,744","119,628"
MT0040,PRESTON HOT SPRINGS TOWN-COUNTY LIBRARY,Rural,,"2,075",4,973,363
MT0042,GARFIELD COUNTY LIBRARY,Rural,,"1,173",2,19,12
MT0043,IMAGINEIF KALISPELL,Town,,"96,606",15,"28,172","55,538"
MT0044,LAUREL PUBLIC LIBRARY,Town,,"7,222",16,"6,215","5,802"
MT0045,LEWISTOWN PUBLIC LIBRARY,Town,,"9,989",5,"1,897",
MT0045,LEWISTOWN PUBLIC LIBRARY,Town,Data Note: Missing,"9,989",,,-1
MT0046,LINCOLN COUNTY PUBLIC LIBRARIES,Town,,"19,677",9,"1,000","1,440"
MT0047,LIVINGSTON-PARK COUNTY PUBLIC LIBRARY,Town,,"17,191",11,"7,560",0
MT0048,PHILLIPS COUNTY LIBRARY,Rural,,"4,217",3,691,922
MT0049,MANHATTAN COMMUNITY SCHOOL LIBRARY,Rural,,"8,290",17,"3,925","11,000"
MT0050,MILES CITY PUBLIC LIBRARY,Town,,"11,867",9,"3,820","2,444"
MT0051,MISSOULA PUBLIC LIBRARY,City,,"117,922",45,"8,589","505,112"
MT0052,MOORE MEMORIAL PUBLIC LIBRARY,Rural,,489,2,110,0
MT0053,PHILIPSBURG PUBLIC LIBRARY,Rural,,"1,483",5,"1,600","1,300"
MT0054,PLAINS PUBLIC LIBRARY DISTRICT,Rural,,"4,688",3,"1,428","2,000"
MT0055,SHERIDAN COUNTY LIBRARY,Rural,,"3,539",5,"1,062",
MT0055,SHERIDAN COUNTY LIBRARY,Rural,Data Note: Missing,"3,539",,,-1
MT0056,NORTH LAKE COUNTY PUBLIC LIBRARY,Town,,"12,688",9,"3,748","28,960"
MT0057,RED LODGE CARNEGIE LIBRARY,Rural,,"5,425",10,471,660
MT0058,RONAN LIBRARY DISTRICT,Rural,,"8,889",20,"1,352","34,842"
MT0059,ROUNDUP SCHOOL-COMMUNITY LIBRARY,Rural,,"4,730",32,"7,899",150
MT0060,ST IGNATIUS SCHOOL-COMMUNITY LIBRARY,Rural,,"9,557",7,"1,750","1,750"
MT0061,DANIELS COUNTY LIBRARY,Rural,,"1,661",3,"1,624",0
MT0062,TOOLE COUNTY LIBRARY,Town,,"4,971",4,956,218
MT0063,SHERIDAN PUBLIC LIBRARY,Rural,,"1,082",5,456,676
MT0064,SIDNEY-RICHLAND COUNTY LIBRARY,Town,,"11,491",7,"1,002","9,500"
MT0065,JUDITH BASIN COUNTY FREE LIBRARY,Rural,,"2,023",7,560,211
MT0066,NORTH VALLEY PUBLIC LIBRARY,Rural,,"11,923",11,"4,453",105
MT0067,MINERAL COUNTY PUBLIC LIBRARY,Rural,,"4,535",11,936,306
MT0069,PRAIRIE COUNTY LIBRARY,Rural,,"1,088",3,291,27
MT0070,THOMPSON FALLS PUBLIC LIBRARY,Rural,,"5,637",6,"1,729","8,449"
MT0071,THREE FORKS COMMUNITY LIBRARY,Rural,,"4,776",4,"6,830",0
MT0072,BROADWATER SCHOOL AND COMMUNITY LIBRARY,Rural,,"6,774",11,36,"5,475"
MT0073,TWIN BRIDGES PUBLIC LIBRARY,Rural,,718,7,650,"1,135"
MT0074,VALIER PUBLIC LIBRARY,Rural,,"1,903",14,"2,002",260
MT0075,THOMPSON-HICKMAN MADISON COUNTY LIBRARY,Rural,,"5,519",6,522,800
MT0076,WEST YELLOWSTONE PUBLIC LIBRARY,Rural,,"4,059",3,689,"1,519"
MT0077,MEAGHER COUNTY/CITY LIBRARY,Rural,,"1,927",16,"1,174",0
MT0079,WIBAUX PUBLIC LIBRARY,Rural,,937,4,213,
MT0079,WIBAUX PUBLIC LIBRARY,Rural,Data Note: Missing,937,,,-1
MT0080,PETROLEUM COUNTY SCHOOL-COMMUNITY LIBRARY,Rural,,496,3,150,"3,500"
MT0082,ROOSEVELT COUNTY LIBRARY,Town,,"10,794",5,"4,781","3,328"
MT0083,BELT PUBLIC LIBRARY,Rural,,"1,424",7,180,50
MT0801,JOLIET PUBLIC LIBRARY,Rural,,"2,538",5,210,116
MT0802,HEARST FREE LIBRARY,Town,,"9,421",11,"18,000",0
MT0803,DOROTHY ASBJORNSON COMMUNITY LIBRARY,Rural,Data Note: Library temporarily closed,-3,-3,-3,-3
MT0804,NORTH JEFFERSON COUNTY LIBRARY DISTRICT CLANCY LIBRARY,Rural,,"6,326",3,"3,000","5,000"
MT0805,WHITEFISH COMMUNITY LIBRARY,Town,,"7,751",17,"9,360","2,100"
NC0001,ALBEMARLE REGIONAL LIBRARY,Rural,,"64,526",90,"21,744","39,991"
NC0002,APPALACHIAN REGIONAL LIBRARY,Rural,,"146,871",104,"18,806","235,211"
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Rural,,"51,354",74,"8,568","15,060"
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Town,,"61,032",79,"8,301","13,943"
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,City,,"114,322",162,"18,196","16,818"
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Town,,"118,375",76,"14,761","18,554"
NC0008,FONTANA REGIONAL LIBRARY,Rural,,"94,244",98,"14,173","196,865"
NC0011,NANTAHALA REGIONAL LIBRARY,Rural,,"48,266",84,"10,842","18,925"
NC0012,NEUSE REGIONAL LIBRARY,Town,,"84,177",122,"33,146","454,428"
NC0013,NORTHWESTERN REGIONAL LIBRARY,Town,,"164,569",203,"28,506","112,561"
NC0014,PETTIGREW REGIONAL LIBRARY,Town,,"40,973",73,"9,319","30,499"
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Town,,"212,145",239,"15,137","31,725"
NC0016,ALEXANDER COUNTY LIBRARY,Town,,"36,325",16,"3,232",
NC0016,ALEXANDER COUNTY LIBRARY,Town,Data Note: Missing,"36,325",,,-1
NC0017,BLADEN COUNTY PUBLIC LIBRARY,Town,,"29,402",15,"4,200",
NC0017,BLADEN COUNTY PUBLIC LIBRARY,Town,Data Note: Missing,"29,402",,,-1
NC0018,BRUNSWICK COUNTY LIBRARY,Town,,"143,550",70,"20,553","10,735"
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,City,,"271,454",230,"35,586","1,102,809"
NC0020,BURKE COUNTY PUBLIC LIBRARY,City,,"87,731",37,"7,380",
NC0020,BURKE COUNTY PUBLIC LIBRARY,City,Data Note: Missing,"87,731",,,-1
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,City,,"231,230",64,"23,836",
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,City,Data Note: Missing,"231,230",,,-1
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,City,,"80,788",43,"13,775","12,587"
NC0023,CATAWBA COUNTY LIBRARY,Suburban,,"117,776",146,"30,559",
NC0023,CATAWBA COUNTY LIBRARY,Suburban,Data Note: Missing,"117,776",,,-1
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,Town,,"90,647",35,"12,091","10,739"
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,Town,,"50,369",92,"2,617","6,719"
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,City,,"342,082",360,"67,354","32,422"
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,Suburban,,"164,144",106,"28,499",
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,Suburban,Data Note: Missing,"164,144",,,-1
NC0028,DAVIE COUNTY PUBLIC LIBRARY,Town,,"43,280",74,"4,395","4,685"
NC0029,DUPLIN COUNTY LIBRARY,Rural,,"48,754",42,810,
NC0029,DUPLIN COUNTY LIBRARY,Rural,Data Note: Missing,"48,754",,,-1
NC0030,DURHAM COUNTY LIBRARY,City,,"325,072",292,"56,660",
NC0030,DURHAM COUNTY LIBRARY,City,Data Note: Missing,"325,072",,,-1
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,Town,,"48,311",35,"10,499","37,660"
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,City,,"383,969",208,"50,000",
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,City,Data Note: Missing,"383,969",,,-1
NC0033,FRANKLIN COUNTY LIBRARY,Town,,"71,220",35,"4,619","8,285"
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,Town,,"61,150",47,"11,636","38,547"
NC0035,GREENSBORO PUBLIC LIBRARY,City,,"430,004",260,"87,727",
NC0035,GREENSBORO PUBLIC LIBRARY,City,Data Note: Missing,"430,004",,,-1
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,Rural,,"33,117",47,"8,208","6,609"
NC0037,HARNETT COUNTY PUBLIC LIBRARY,Town,,"136,820",103,"12,923","76,890"
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,Suburban,,"62,495",46,"5,853","19,801"
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,Suburban,,"116,710",35,"18,052","36,983"
NC0040,IREDELL COUNTY LIBRARY,Suburban,,"139,207",61,"13,117","22,608"
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,Town,,"198,473",34,"5,582","5,630"
NC0042,LEE COUNTY LIBRARY,Town,,"64,068",16,"6,392","8,118"
NC0043,MADISON COUNTY PUBLIC LIBRARY,Rural,,"21,446",53,"7,669","36,445"
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,Town,,"44,688",38,"8,492","5,904"
